,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401290624,2024-06-29
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401290624,2024-06-29
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401290624,2024-06-29
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401290624,2024-06-29
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S23301080624,2024-06-08
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S23301080624,2024-06-08
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S23301080624,2024-06-08
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S23301080624,2024-06-08
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301080624,2024-06-08
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S23301080624,2024-06-08
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S23301080624,2024-06-08
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S23301080624,2024-06-08
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301080624,2024-06-08
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S23301080624,2024-06-08
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S23301080624,2024-06-08
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S23301080624,2024-06-08
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S23301080624,2024-06-08
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S23301080624,2024-06-08
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S23301080624,2024-06-08
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S23301080624,2024-06-08
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S23301080624,2024-06-08
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S23301150624,2024-06-15
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S23301150624,2024-06-15
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S23301150624,2024-06-15
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S23301150624,2024-06-15
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301150624,2024-06-15
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S23301150624,2024-06-15
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S23301150624,2024-06-15
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S23301150624,2024-06-15
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301150624,2024-06-15
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S23301150624,2024-06-15
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S23301150624,2024-06-15
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S23301150624,2024-06-15
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S23301150624,2024-06-15
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S23301150624,2024-06-15
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S23301150624,2024-06-15
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S23301150624,2024-06-15
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S23301150624,2024-06-15
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S23301220624,2024-06-22
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S23301220624,2024-06-22
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S23301220624,2024-06-22
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S23301220624,2024-06-22
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301220624,2024-06-22
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S23301220624,2024-06-22
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S23301220624,2024-06-22
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S23301220624,2024-06-22
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301220624,2024-06-22
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S23301220624,2024-06-22
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S23301220624,2024-06-22
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S23301220624,2024-06-22
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S23301220624,2024-06-22
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S23301220624,2024-06-22
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S23301220624,2024-06-22
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S23301220624,2024-06-22
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S23301220624,2024-06-22
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301030724,2024-07-03
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301030724,2024-07-03
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301030724,2024-07-03
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301030724,2024-07-03
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301030724,2024-07-03
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301030724,2024-07-03
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301030724,2024-07-03
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301030724,2024-07-03
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301030724,2024-07-03
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301030724,2024-07-03
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301030724,2024-07-03
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301030724,2024-07-03
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301030724,2024-07-03
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301030724,2024-07-03
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301030724,2024-07-03
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S16301030724,2024-07-03
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301030724,2024-07-03
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301040724,2024-07-04
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301040724,2024-07-04
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301040724,2024-07-04
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301040724,2024-07-04
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301040724,2024-07-04
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301040724,2024-07-04
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301040724,2024-07-04
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301040724,2024-07-04
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301040724,2024-07-04
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301040724,2024-07-04
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301040724,2024-07-04
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301040724,2024-07-04
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301040724,2024-07-04
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301040724,2024-07-04
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301040724,2024-07-04
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S16301040724,2024-07-04
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301040724,2024-07-04
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301050724,2024-07-05
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301050724,2024-07-05
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301050724,2024-07-05
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301050724,2024-07-05
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301050724,2024-07-05
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301050724,2024-07-05
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301050724,2024-07-05
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301050724,2024-07-05
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301050724,2024-07-05
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301050724,2024-07-05
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301050724,2024-07-05
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301050724,2024-07-05
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301050724,2024-07-05
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301050724,2024-07-05
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301050724,2024-07-05
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S16301050724,2024-07-05
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301050724,2024-07-05
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301110724,2024-07-11
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301110724,2024-07-11
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301110724,2024-07-11
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301110724,2024-07-11
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301110724,2024-07-11
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301110724,2024-07-11
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301110724,2024-07-11
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301110724,2024-07-11
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301110724,2024-07-11
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301110724,2024-07-11
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301110724,2024-07-11
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301110724,2024-07-11
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301110724,2024-07-11
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301110724,2024-07-11
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301110724,2024-07-11
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S16301110724,2024-07-11
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301110724,2024-07-11
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301180724,2024-07-18
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301180724,2024-07-18
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301180724,2024-07-18
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301180724,2024-07-18
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301180724,2024-07-18
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301180724,2024-07-18
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301180724,2024-07-18
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301180724,2024-07-18
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301180724,2024-07-18
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301180724,2024-07-18
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301180724,2024-07-18
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301180724,2024-07-18
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301180724,2024-07-18
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301180724,2024-07-18
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301180724,2024-07-18
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S16301180724,2024-07-18
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301180724,2024-07-18
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S16301270724,2024-07-27
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S16301270724,2024-07-27
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S16301270724,2024-07-27
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S16301270724,2024-07-27
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301270724,2024-07-27
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S16301270724,2024-07-27
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S16301270724,2024-07-27
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S16301270724,2024-07-27
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301270724,2024-07-27
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S16301270724,2024-07-27
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S16301270724,2024-07-27
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S16301270724,2024-07-27
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S16301270724,2024-07-27
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S16301270724,2024-07-27
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S16301270724,2024-07-27
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S16301270724,2024-07-27
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301270724,2024-07-27
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S18401010724,2024-07-01
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401010724,2024-07-01
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401010724,2024-07-01
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401010724,2024-07-01
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401010724,2024-07-01
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401010724,2024-07-01
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401010724,2024-07-01
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401010724,2024-07-01
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401010724,2024-07-01
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401010724,2024-07-01
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401010724,2024-07-01
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401010724,2024-07-01
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401010724,2024-07-01
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401010724,2024-07-01
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401010724,2024-07-01
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401010724,2024-07-01
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401010724,2024-07-01
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S18401020724,2024-07-02
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401020724,2024-07-02
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401020724,2024-07-02
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401020724,2024-07-02
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401020724,2024-07-02
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401020724,2024-07-02
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401020724,2024-07-02
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401020724,2024-07-02
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401020724,2024-07-02
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401020724,2024-07-02
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401020724,2024-07-02
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401020724,2024-07-02
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401020724,2024-07-02
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401020724,2024-07-02
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401020724,2024-07-02
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401020724,2024-07-02
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401020724,2024-07-02
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401050724,2024-07-05
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401050724,2024-07-05
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401050724,2024-07-05
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401050724,2024-07-05
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401050724,2024-07-05
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401050724,2024-07-05
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401050724,2024-07-05
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401050724,2024-07-05
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401050724,2024-07-05
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401050724,2024-07-05
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401050724,2024-07-05
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401050724,2024-07-05
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401050724,2024-07-05
